,points,time
0,100,0.02684589385986328
1,200,0.057548198699951175
2,300,0.09033819198608399
3,400,0.12135739803314209
4,500,0.15334450721740722
5,600,0.18561596393585206
6,700,0.21744806289672852
7,800,0.24833727836608888
8,900,0.28045618534088135
9,1000,0.31287063598632814
10,1100,0.3440576648712158
11,1200,0.3752129077911377
12,1300,0.40690078735351565
13,1400,0.43628482818603515
14,1500,0.46804615020751955
15,1600,0.5008734273910522
16,1700,0.5310603141784668
17,1800,0.5634025573730469
18,1900,0.5943545913696289
19,2000,0.6247625637054444
20,2100,0.6494271469116211
21,2200,0.6741640567779541
22,2300,0.7079326725006103
23,2400,0.7370975208282471
24,2500,0.7669523382186889
25,2600,0.7999441623687744
26,2700,0.8288582038879394
27,2800,0.8593638896942138
28,2900,0.8883445358276367
29,3000,0.919476056098938
