,points,time,error
0,500,0.0007514160005666781,0.0
1,700,0.0009344719996443019,0.0
2,900,0.000900390000169864,0.0
3,1100,0.0009290300009888597,1.0578540372999334e-05
4,1300,0.0009316540003055706,0.0
5,1500,0.0009345520001079421,2.9575736066131346e-06
6,1700,0.0009201959997881204,0.0
7,1900,0.0009949799995229115,0.0
8,2100,0.001032417999667814,2.4930444061069617e-06
9,2300,0.0010600659999181515,1.6505151965292023e-05
10,2500,0.0010204480001993943,4.5177423034612685e-06
11,2700,0.0010990479998872614,0.0
12,2900,0.00105293999920832,0.0
13,3100,0.001064165999996476,0.0
14,3300,0.001094520000187913,0.0
